exp_index,subject,condition,scenario,box_weight,contestant,strength,effort,resp,s1,s2,e1,e2
1a,1,fail,1,5,1,5,20,8,5,5,20,60
1a,1,fail,1,5,2,5,60,2,5,5,20,60
1a,1,fail,2,7,1,6,30,8,6,6,30,80
1a,1,fail,2,7,2,6,80,2,6,6,30,80
1a,1,fail,3,5,1,4,30,5,4,4,30,60
1a,1,fail,3,5,2,4,60,5,4,4,30,60
1a,1,fail,4,6,1,5,20,9,5,5,20,70
1a,1,fail,4,6,2,5,70,1,5,5,20,70
1a,1,fail,5,8,1,8,20,6,8,8,20,40
1a,1,fail,5,8,2,8,40,4,8,8,20,40
1a,1,fail,6,6,1,4,40,5,4,8,40,40
1a,1,fail,6,6,2,8,40,5,4,8,40,40
1a,1,fail,7,7,1,4,60,4,4,6,60,60
1a,1,fail,7,7,2,6,60,6,4,6,60,60
1a,1,fail,8,6,1,2,50,3,2,8,50,50
1a,1,fail,8,6,2,8,50,7,2,8,50,50
1a,1,fail,9,9,1,5,70,4,5,7,70,70
1a,1,fail,9,9,2,7,70,6,5,7,70,70
1a,1,fail,10,8,1,6,30,4,6,8,30,30
1a,1,fail,10,8,2,8,30,6,6,8,30,30
1a,1,fail,11,3,1,2,60,2,2,6,60,20
1a,1,fail,11,3,2,6,20,8,2,6,60,20
1a,1,fail,12,5,1,3,80,3,3,6,80,40
1a,1,fail,12,5,2,6,40,7,3,6,80,40
1a,1,fail,13,5,1,4,30,3,4,6,30,20
1a,1,fail,13,5,2,6,20,7,4,6,30,20
1a,1,fail,14,9,1,5,80,2,5,8,80,50
1a,1,fail,14,9,2,8,50,8,5,8,80,50
1a,1,fail,15,8,1,6,40,3,6,8,40,30
1a,1,fail,15,8,2,8,30,7,6,8,40,30
1a,1,lift,16,4,1,5,20,2,5,5,20,60
1a,1,lift,16,4,2,5,60,8,5,5,20,60
1a,1,lift,17,5,1,6,30,3,6,6,30,80
1a,1,lift,17,5,2,6,80,7,6,6,30,80
1a,1,lift,18,3,1,4,30,4,4,4,30,60
1a,1,lift,18,3,2,4,60,6,4,4,30,60
1a,1,lift,19,4,1,5,20,2,5,5,20,70
1a,1,lift,19,4,2,5,70,8,5,5,20,70
1a,1,lift,20,4,1,8,20,4,8,8,20,40
1a,1,lift,20,4,2,8,40,6,8,8,20,40
1a,1,lift,21,4,1,4,40,5,4,8,40,40
1a,1,lift,21,4,2,8,40,5,4,8,40,40
1a,1,lift,22,5,1,4,60,5,4,6,60,60
1a,1,lift,22,5,2,6,60,5,4,6,60,60
1a,1,lift,23,5,1,2,50,4,2,8,50,50
1a,1,lift,23,5,2,8,50,6,2,8,50,50
1a,1,lift,24,6,1,5,70,6,5,7,70,70
1a,1,lift,24,6,2,7,70,4,5,7,70,70
1a,1,lift,25,3,1,6,30,5,6,8,30,30
1a,1,lift,25,3,2,8,30,5,6,8,30,30
1a,1,lift,26,2,1,2,60,7,2,6,60,20
1a,1,lift,26,2,2,6,20,3,2,6,60,20
1a,1,lift,27,3,1,3,80,5,3,6,80,40
1a,1,lift,27,3,2,6,40,5,3,6,80,40
1a,1,lift,28,2,1,4,30,5,4,6,30,20
1a,1,lift,28,2,2,6,20,5,4,6,30,20
1a,1,lift,29,6,1,5,80,6,5,8,80,50
1a,1,lift,29,6,2,8,50,4,5,8,80,50
1a,1,lift,30,4,1,6,40,6,6,8,40,30
1a,1,lift,30,4,2,8,30,4,6,8,40,30
1a,2,fail,1,5,1,5,20,6,5,5,20,60
1a,2,fail,1,5,2,5,60,4,5,5,20,60
1a,2,fail,2,7,1,6,30,8,6,6,30,80
1a,2,fail,2,7,2,6,80,2,6,6,30,80
1a,2,fail,3,5,1,4,30,6,4,4,30,60
1a,2,fail,3,5,2,4,60,3,4,4,30,60
1a,2,fail,4,6,1,5,20,7,5,5,20,70
1a,2,fail,4,6,2,5,70,3,5,5,20,70
1a,2,fail,5,8,1,8,20,6,8,8,20,40
1a,2,fail,5,8,2,8,40,3,8,8,20,40
1a,2,fail,6,6,1,4,40,4,4,8,40,40
1a,2,fail,6,6,2,8,40,5,4,8,40,40
1a,2,fail,7,7,1,4,60,3,4,6,60,60
1a,2,fail,7,7,2,6,60,4,4,6,60,60
1a,2,fail,8,6,1,2,50,3,2,8,50,50
1a,2,fail,8,6,2,8,50,5,2,8,50,50
1a,2,fail,9,9,1,5,70,4,5,7,70,70
1a,2,fail,9,9,2,7,70,4,5,7,70,70
1a,2,fail,10,8,1,6,30,5,6,8,30,30
1a,2,fail,10,8,2,8,30,5,6,8,30,30
1a,2,fail,11,3,1,2,60,2,2,6,60,20
1a,2,fail,11,3,2,6,20,7,2,6,60,20
1a,2,fail,12,5,1,3,80,2,3,6,80,40
1a,2,fail,12,5,2,6,40,7,3,6,80,40
1a,2,fail,13,5,1,4,30,6,4,6,30,20
1a,2,fail,13,5,2,6,20,8,4,6,30,20
1a,2,fail,14,9,1,5,80,2,5,8,80,50
1a,2,fail,14,9,2,8,50,5,5,8,80,50
